Category,Resume
Data Analyst,"Statistics, Data Visualization, Python, MATLAB, data management, Calculus, Microsoft Excel, statistical visualization, SQL, Data Cleaning, econometrics, machine learning"
Data Analyst,"SQL, statistical visualization, data management, R, machine learning, Statistics, Python, Calculus"
Data Analyst,"Data Visualization, data management, SQL, probability, Python, econometrics, MATLAB, Data Cleaning, machine learning, Linear Algebra, Microsoft Excel, R"
Data Analyst,"Calculus, Data Cleaning, Python, R, machine learning, Microsoft Excel, NoSQL, econometrics, statistical visualization, Data Visualization, Statistics, probability, Statistical programming, SQL"
Data Analyst,"probability, Data Cleaning, data management, econometrics, Python, machine learning, SQL, statistical visualization, MATLAB"
Data Analyst,"data management, Python, Statistical programming, SQL, Microsoft Excel, Statistics, machine learning, probability, econometrics, Linear Algebra, Data Visualization, NoSQL, Calculus, MATLAB, Data Cleaning"
Data Analyst,"Data Cleaning, machine learning, Linear Algebra, MATLAB, Calculus, data management, Microsoft Excel"
Data Analyst,"R, Microsoft Excel"
Data Analyst,"Python, machine learning, NoSQL, Calculus, Statistical programming, MATLAB, Statistics, Linear Algebra, statistical visualization, Microsoft Excel, SQL"
Data Analyst,"NoSQL, Python, Statistical programming, SQL, statistical visualization, Linear Algebra"
Data Engineer,"Scala, Hive, Spark, AWS, Version Control, Apache Kafka, GCP, SQL, Cloud Computing, Cassandra, Data Integration, Data Visualization, Python, Git, Big Data, Database Management, Azure"
Data Engineer,"Spark, Git, Tableau, AWS, Hive, Data Visualization, Power BI, Hadoop, Cloud Computing, Big Data, Python, Scala, HBase, Apache Airflow, Data Warehousing, Apache Kafka, Data Integration, Cassandra, Java, Apache NiFi, QlikView, MongoDB, Data Pipelines, Google Cloud Platform, SQL"
Data Engineer,"Data Warehousing, Scala, Big Data, MongoDB, HBase, Tableau, QlikView, Version Control, Apache Kafka, Hadoop, Spark, Apache Airflow, Google Cloud Platform, Database Management, Power BI"
Data Engineer,"Big Data, Java, Hive, Power BI, SQL, Azure, GCP, Spark, Data Warehousing, Version Control, Tableau, MongoDB, Hadoop, Scala"
Data Engineer,"NoSQL, Google Cloud Platform, GCP, HBase, Java, SQL, Data Integration, Power BI, Big Data, AWS, Hadoop, Azure, Python, QlikView, Data Pipelines, Tableau, Cassandra, Apache NiFi, Spark"
Data Engineer,"Hive, NoSQL"
Data Engineer,"Data Visualization, Google Cloud Platform, Git, Hive, Power BI, SQL, Data Pipelines, Java, Cloud Computing, QlikView, Spark, Data Warehousing, Azure, Cassandra, Data Integration, Database Management, Apache Kafka, Apache NiFi, Apache Airflow, Scala, AWS, NoSQL, Python, MongoDB, Version Control, Big Data, HBase, Hadoop, GCP, Tableau"
Data Engineer,"Apache NiFi, Java, Azure, Spark, Python, Data Pipelines, Power BI, Data Visualization, Version Control, Database Management, Scala, Cassandra, Apache Airflow, Big Data, Data Warehousing, Google Cloud Platform"
Data Engineer,"Database Management, Data Visualization, SQL, Python, Hadoop, Data Pipelines"
Data Engineer,"NoSQL, Apache NiFi, Apache Kafka, Data Integration, QlikView, Tableau, Data Pipelines, Cassandra, Version Control, Big Data, HBase, Cloud Computing, Scala, Spark, Database Management, Azure, AWS, Power BI, Google Cloud Platform, Java, Apache Airflow, Python, GCP"
Database Administrator,"Database Administration, Oracle RAC, SQL, PL/SQL, Oracle Database, Linux"
Database Administrator,"PL/SQL, Microsoft SQL Server, Linux, SQL, Oracle RAC, Databases, Database Administration, Oracle Database"
Database Administrator,"SQL, Microsoft SQL Server"
Database Administrator,"Microsoft SQL Server, Oracle Database, Oracle RAC, SQL"
Database Administrator,Microsoft SQL Server
Database Administrator,"Oracle RAC, Database Administration, Microsoft SQL Server, Oracle Database, Linux, Databases, PL/SQL, SQL"
Database Administrator,"Oracle Database, PL/SQL, Oracle RAC, Microsoft SQL Server, SQL, Databases"
Database Administrator,"Oracle RAC, SQL, Databases, PL/SQL"
Database Administrator,"SQL, Oracle Database, Oracle RAC, Database Administration, Databases, Microsoft SQL Server, Linux"
Database Administrator,"Linux, Database Administration, Oracle RAC, Oracle Database, Microsoft SQL Server, Databases"
Machine Learning Engineer,"data modelling, TensorFlow, Scikit-learn, statistics, C++, Matplotlib, Applied Mathematics, MLlib, R,  NumPy, Software Design, natural language processing, Pandas, neural networks, NLP"
Machine Learning Engineer,"C, Applied Mathematics, Machine learning algorithms"
Machine Learning Engineer,"MLlib, natural language processing, Python, Applied Mathematics"
Machine Learning Engineer,"neural networks, statistics, natural language processing, Pandas, Matplotlib, NLP, MLlib, Machine learning algorithms,  NumPy, data modelling, CNTK, Python, Scikit-learn, C++, Software Design, TensorFlow"
Machine Learning Engineer,"CNTK, R, Machine learning algorithms, probability,  NumPy, MLlib, Applied Mathematics, statistics, Python, C++, data modelling, Scikit-learn, NLP, TensorFlow, Pandas, C, Matplotlib"
Machine Learning Engineer,"Pandas, natural language processing,  NumPy, data modelling, Matplotlib, neural networks"
Machine Learning Engineer,"Software Design, data modelling, C, MLlib, Python, statistics, natural language processing, Applied Mathematics, C++"
Machine Learning Engineer,"Matplotlib, neural networks, natural language processing, NLP, Applied Mathematics,  NumPy, probability, Machine learning algorithms, MLlib, C++, CNTK, TensorFlow, statistics, R, C, Pandas, Python, data modelling, Scikit-learn, Software Design"
Machine Learning Engineer,"data modelling, Scikit-learn, statistics, Applied Mathematics, TensorFlow, Matplotlib, Machine learning algorithms"
Machine Learning Engineer,"Scikit-learn,  NumPy, C++, NLP"
Data Scientist,"database management, devops, C/C++, Statistical analysis and computing, Spark, Model Deployment, Data Structures and Algorithms, big data, microsoft excel, Multivariate Calculus, Neural Networks, statistics"
Data Scientist,"Statistical analysis and computing, nlp, deep learning, and Loading, Linear Algebra, Multivariate Calculus, programming, web scraping, SAS, Perl, Model Deployment, Neural Networks, database management, SQL, microsoft excel, data preprocessing, Data Extraction,  Python, mathematics, R, Hadoop, natural language processing, data wrangling, ETL, Transformation, Java, C/C++, Pig, processing large datasets, machine learning"
Data Scientist,"natural language processing, Java, data wrangling, Model Deployment, statistics, deep learning, Spark, database management, microsoft excel, Linear Algebra, programming, Perl, machine learning, Data Structures and Algorithms, web scraping, R, data preprocessing, big data, Transformation"
Data Scientist,"machine learning, nlp, data visualization, deep learning, Pig, Data Extraction, data preprocessing, SAS, devops, Multivariate Calculus, Perl, microsoft excel, Neural Networks, web scraping, Transformation, C/C++, big data,  Python, ETL, Java"
Data Scientist,"Linear Algebra, machine learning, deep learning,  Python, Pig, Data Structures and Algorithms, and Loading, ETL, Hive, Java, Multivariate Calculus, Spark, data preprocessing, Data Extraction, C/C++, R, data wrangling, Perl, natural language processing, SQL, Neural Networks, mathematics, Business Intelligence, big data, SAS, web scraping, programming, nlp, microsoft excel, Transformation, Hadoop, statistics, Statistical analysis and computing, processing large datasets, database management, data visualization, Model Deployment, devops"
Data Scientist,"Pig, Perl, Data Extraction, Linear Algebra, Spark"
Data Scientist,"natural language processing, SAS, R, SQL, mathematics, Neural Networks, Data Extraction, Java, microsoft excel, Transformation, C/C++, Pig, Multivariate Calculus, machine learning, and Loading, data wrangling, Hadoop, Hive, Linear Algebra, deep learning, Business Intelligence, ETL, Perl, data visualization, big data, web scraping, Model Deployment, programming, database management, devops, data preprocessing, Data Structures and Algorithms,  Python, Statistical analysis and computing"
Data Scientist,"Linear Algebra, machine learning, Multivariate Calculus, Business Intelligence, SAS, SQL, C/C++, statistics, data preprocessing, programming, Pig, devops"
Data Scientist,"SQL, Data Extraction, Linear Algebra, Pig, devops, Model Deployment, Business Intelligence, Multivariate Calculus, machine learning, Neural Networks, Transformation, microsoft excel, natural language processing, Spark, data visualization, Java, ETL, data wrangling, processing large datasets, Hadoop"
Data Scientist,"Pig, ETL, programming, Multivariate Calculus, devops, Linear Algebra, Model Deployment, and Loading, Data Extraction, processing large datasets, Transformation,  Python, microsoft excel, Spark, statistics, Business Intelligence, data visualization, Hadoop, data wrangling, R, deep learning, Java, Hive, database management, data preprocessing, mathematics, C/C++, SAS, natural language processing"
Data Architect,"Python and Java, C/C++, oracle , Pig, Enterprise Architect, Data visualization, applied mathematics, Hive, Visio, Hadoop, data migration, ERWin, cloud computing, machine learning, relational database management systems"
Data Architect,"Visio, Pig, statistics, Enterprise Architect, relational database management systems, machine learning, C/C++, ERWin, cloud computing, Python and Java, applied mathematics, Hive, oracle , data migration, Perl, RDBMS, NoSQL"
Data Architect,"relational database management systems, applied mathematics, ERWin, Pig, Perl, C/C++, NoSQL, machine learning, operating systems, Data visualization, Hive"
Data Architect,"Hadoop, cloud computing, Data visualization, MapReduce, operating systems, Pig, relational database management systems, SQL, statistics, oracle , data migration"
Data Architect,ERWin
Data Architect,"C/C++, Perl, Pig, Hive"
Data Architect,"relational database management systems, Hadoop, Data visualization, NoSQL, Hive, oracle , C/C++, SQL, data migration, cloud computing, RDBMS, operating systems, machine learning, Python and Java, applied mathematics, Visio, MapReduce, Pig"
Data Architect,"MapReduce, Visio, Data visualization, relational database management systems, ERWin, operating systems"
Data Architect,"NoSQL, Pig, RDBMS, operating systems, applied mathematics, relational database management systems, Hive, cloud computing, C/C++, Hadoop, oracle "
Data Architect,"machine learning, statistics, Visio, data migration, ERWin, C/C++, SQL, Pig, Python and Java, oracle , MapReduce, Data visualization, Perl, applied mathematics, Enterprise Architect, NoSQL, relational database management systems, RDBMS, operating systems, Hadoop, cloud computing"
Statistician,"C, C++, Python,  cloud computing, machine learning, statistics, linear algebra, visualization, Java"
Statistician,"SAS, Python"
Statistician,"machine learning, R, Java, mathematics, C, C++"
Statistician,"R, cleaning, probability, C++, linear algebra, Python, machine learning, data mining"
Statistician,"linear algebra, visualization, C++, Java, data mining, cleaning, SAS, machine learning, R,  cloud computing, probability, statistics, C, mathematics"
Statistician,"mathematics,  cloud computing, Python, SAS"
Statistician,"linear algebra, mathematics"
Statistician,"machine learning, Python, data mining,  cloud computing, cleaning, C, visualization, statistics, Java, mathematics, C++, probability, SAS, R"
Statistician,"data mining, cleaning, linear algebra"
Statistician,"linear algebra, SAS"
Business Analyst,"data wrangling, Python, Power BI, data visualization, Microsoft SQL Server, SAS, QlikView, R, NoSQL, microsoft excel, SPSS"
Business Analyst,"data wrangling, Microsoft SQL Server, QlikView, Power BI, Tableau, Oracle DB, data manipulation, MySQL database"
Business Analyst,"MySQL database, Python, Power BI, NoSQL, data manipulation, QlikView, data wrangling, Microsoft SQL Server, SPSS, R, Oracle DB, SAS, microsoft excel"
Business Analyst,"data wrangling, data manipulation, MySQL database"
Business Analyst,"NoSQL, Power BI, data visualization, data manipulation, Python, QlikView, microsoft excel, Oracle DB"
Business Analyst,"SAS, SPSS, Python, Power BI, NoSQL, Oracle DB, microsoft excel, Tableau, data visualization, data wrangling, MySQL database, R, Microsoft SQL Server, data manipulation, QlikView"
Business Analyst,"microsoft excel, data wrangling, Microsoft SQL Server, Power BI, QlikView"
Business Analyst,"Power BI, MySQL database, QlikView, SAS, NoSQL"
Business Analyst,"QlikView, Power BI, Oracle DB, SAS, Python, data visualization, data wrangling"
Business Analyst,"MySQL database, Oracle DB, QlikView, R, microsoft excel, data visualization, Power BI, NoSQL, Microsoft SQL Server, Python, SPSS, Tableau, data wrangling"
Data and Analytics Manager,"Python, R, Machine learning"
Data and Analytics Manager,Machine learning
Data and Analytics Manager,"Python, R, Java,SQL and NoSQL,visualization tools and operating systems,Excel, Machine learning, advanced statistical methods,statistical modeling"
Data and Analytics Manager,"advanced statistical methods,statistical modeling, Python, R, Java,SQL and NoSQL,visualization tools and operating systems,Excel, Machine learning"
Data and Analytics Manager,"R, Machine learning, Java,SQL and NoSQL,visualization tools and operating systems,Excel, advanced statistical methods,statistical modeling"
Data and Analytics Manager,"advanced statistical methods,statistical modeling, Machine learning, Python"
Data and Analytics Manager,"Python, advanced statistical methods,statistical modeling, Java,SQL and NoSQL,visualization tools and operating systems,Excel"
Data and Analytics Manager,"Python, advanced statistical methods,statistical modeling"
Data and Analytics Manager,"Java,SQL and NoSQL,visualization tools and operating systems,Excel, Python, R, Machine learning, advanced statistical methods,statistical modeling"
Data and Analytics Manager,"Machine learning, R, Python"
Web Developer,"MySQL, CSS3"
Web Developer,"Bootstrap, JavaScript, MongoDB, PHP, JQuery, MySQL, HTML5"
Web Developer,"PHP, HTML5, JavaScript, MongoDB, MySQL, Bootstrap, Gulp,Node.js,React.js,SQL,AngularJS,Front-end Development,Backbone.js,C#,Vue.js, CSS3, JQuery"
Web Developer,"MongoDB, MySQL, HTML5, CSS3, Bootstrap, JavaScript, PHP"
Web Developer,"Bootstrap, JavaScript, PHP, HTML5, Gulp,Node.js,React.js,SQL,AngularJS,Front-end Development,Backbone.js,C#,Vue.js"
Web Developer,"HTML5, PHP, MongoDB"
Web Developer,"JQuery, CSS3, MySQL, PHP, Gulp,Node.js,React.js,SQL,AngularJS,Front-end Development,Backbone.js,C#,Vue.js, MongoDB, HTML5, Bootstrap"
Web Developer,"MongoDB, PHP, MySQL, JavaScript, CSS3, Gulp,Node.js,React.js,SQL,AngularJS,Front-end Development,Backbone.js,C#,Vue.js, JQuery, Bootstrap"
Web Developer,"CSS3, JavaScript, HTML5, JQuery, Gulp,Node.js,React.js,SQL,AngularJS,Front-end Development,Backbone.js,C#,Vue.js, MySQL, PHP"
Web Developer,PHP
Java Developer,"Core Java,Object-Oriented Programming Concepts,software design,HTML,JQuery,CSS,BigData,Java EE Components,Java testing tools, Java Application containers-JBoss , Jetty,Java Web frameworks-Play,SpringMVC,Java build tools"
Java Developer,"Core Java,Object-Oriented Programming Concepts,software design,HTML,JQuery,CSS,BigData,Java EE Components,Java testing tools"
Java Developer,Java Application containers-JBoss 
Java Developer,"Java Application containers-JBoss , Core Java,Object-Oriented Programming Concepts,software design,HTML,JQuery,CSS,BigData,Java EE Components,Java testing tools"
Java Developer,"Core Java,Object-Oriented Programming Concepts,software design,HTML,JQuery,CSS,BigData,Java EE Components,Java testing tools, Java Application containers-JBoss "
Java Developer,"Java Application containers-JBoss , Jetty,Java Web frameworks-Play,SpringMVC,Java build tools, Core Java,Object-Oriented Programming Concepts,software design,HTML,JQuery,CSS,BigData,Java EE Components,Java testing tools"
Java Developer,"Jetty,Java Web frameworks-Play,SpringMVC,Java build tools, Core Java,Object-Oriented Programming Concepts,software design,HTML,JQuery,CSS,BigData,Java EE Components,Java testing tools, Java Application containers-JBoss "
Java Developer,Java Application containers-JBoss 
Java Developer,Java Application containers-JBoss 
Java Developer,"Core Java,Object-Oriented Programming Concepts,software design,HTML,JQuery,CSS,BigData,Java EE Components,Java testing tools, Jetty,Java Web frameworks-Play,SpringMVC,Java build tools, Java Application containers-JBoss "
Front-end web development,"HTML,CSS,React,JavaScript,PHP,Software Testing,Bootstrap,JQuery,AngularJS,Git,Angular,TypeScript,GUI"
Front-end web development,"HTML,CSS,React,JavaScript,PHP,Software Testing,Bootstrap,JQuery,AngularJS,Git,Angular,TypeScript,GUI"
Front-end web development,"HTML,CSS,React,JavaScript,PHP,Software Testing,Bootstrap,JQuery,AngularJS,Git,Angular,TypeScript,GUI"
Front-end web development,"HTML,CSS,React,JavaScript,PHP,Software Testing,Bootstrap,JQuery,AngularJS,Git,Angular,TypeScript,GUI"
Front-end web development,"HTML,CSS,React,JavaScript,PHP,Software Testing,Bootstrap,JQuery,AngularJS,Git,Angular,TypeScript,GUI"
Front-end web development,"HTML,CSS,React,JavaScript,PHP,Software Testing,Bootstrap,JQuery,AngularJS,Git,Angular,TypeScript,GUI"
Front-end web development,"HTML,CSS,React,JavaScript,PHP,Software Testing,Bootstrap,JQuery,AngularJS,Git,Angular,TypeScript,GUI"
Front-end web development,"HTML,CSS,React,JavaScript,PHP,Software Testing,Bootstrap,JQuery,AngularJS,Git,Angular,TypeScript,GUI"
Front-end web development,"HTML,CSS,React,JavaScript,PHP,Software Testing,Bootstrap,JQuery,AngularJS,Git,Angular,TypeScript,GUI"
Front-end web development,"HTML,CSS,React,JavaScript,PHP,Software Testing,Bootstrap,JQuery,AngularJS,Git,Angular,TypeScript,GUI"
Full Stack Developer,Frontend
Full Stack Developer,Frontend
Full Stack Developer,"Frontend, HTML,CSS,React,JavaScript,PHP,Cloud computing,deployment,API-REST,SOAP,DBMS,Python,Backend,Java,Ruby"
Full Stack Developer,"HTML,CSS,React,JavaScript,PHP,Cloud computing,deployment,API-REST,SOAP,DBMS,Python,Backend,Java,Ruby"
Full Stack Developer,Frontend
Full Stack Developer,"Frontend, HTML,CSS,React,JavaScript,PHP,Cloud computing,deployment,API-REST,SOAP,DBMS,Python,Backend,Java,Ruby"
Full Stack Developer,"HTML,CSS,React,JavaScript,PHP,Cloud computing,deployment,API-REST,SOAP,DBMS,Python,Backend,Java,Ruby, Frontend"
Full Stack Developer,"HTML,CSS,React,JavaScript,PHP,Cloud computing,deployment,API-REST,SOAP,DBMS,Python,Backend,Java,Ruby"
Full Stack Developer,Frontend
Full Stack Developer,"HTML,CSS,React,JavaScript,PHP,Cloud computing,deployment,API-REST,SOAP,DBMS,Python,Backend,Java,Ruby"
