Category,Resume
Software Testing,"SQL,Linux,Test management tools-Testlink,Defect Tracking tools-QC,Bugzilla;,C#,Shell,Perl,Agile developments skill,DevOps,DevTools,Cloud platform,AWS,Azure,SQL,OS,Core Java,VB Scripting,JavaScript,API Testing"
Software Testing,"SQL,Linux,Test management tools-Testlink,Defect Tracking tools-QC,Bugzilla;,C#,Shell,Perl,Agile developments skill,DevOps,DevTools,Cloud platform,AWS,Azure,SQL,OS,Core Java,VB Scripting,JavaScript,API Testing"
Software Testing,"SQL,Linux,Test management tools-Testlink,Defect Tracking tools-QC,Bugzilla;,C#,Shell,Perl,Agile developments skill,DevOps,DevTools,Cloud platform,AWS,Azure,SQL,OS,Core Java,VB Scripting,JavaScript,API Testing"
Software Testing,"SQL,Linux,Test management tools-Testlink,Defect Tracking tools-QC,Bugzilla;,C#,Shell,Perl,Agile developments skill,DevOps,DevTools,Cloud platform,AWS,Azure,SQL,OS,Core Java,VB Scripting,JavaScript,API Testing"
Software Testing,"SQL,Linux,Test management tools-Testlink,Defect Tracking tools-QC,Bugzilla;,C#,Shell,Perl,Agile developments skill,DevOps,DevTools,Cloud platform,AWS,Azure,SQL,OS,Core Java,VB Scripting,JavaScript,API Testing"
Software Testing,"SQL,Linux,Test management tools-Testlink,Defect Tracking tools-QC,Bugzilla;,C#,Shell,Perl,Agile developments skill,DevOps,DevTools,Cloud platform,AWS,Azure,SQL,OS,Core Java,VB Scripting,JavaScript,API Testing"
Software Testing,"SQL,Linux,Test management tools-Testlink,Defect Tracking tools-QC,Bugzilla;,C#,Shell,Perl,Agile developments skill,DevOps,DevTools,Cloud platform,AWS,Azure,SQL,OS,Core Java,VB Scripting,JavaScript,API Testing"
Software Testing,"SQL,Linux,Test management tools-Testlink,Defect Tracking tools-QC,Bugzilla;,C#,Shell,Perl,Agile developments skill,DevOps,DevTools,Cloud platform,AWS,Azure,SQL,OS,Core Java,VB Scripting,JavaScript,API Testing"
Software Testing,"SQL,Linux,Test management tools-Testlink,Defect Tracking tools-QC,Bugzilla;,C#,Shell,Perl,Agile developments skill,DevOps,DevTools,Cloud platform,AWS,Azure,SQL,OS,Core Java,VB Scripting,JavaScript,API Testing"
Software Testing,"SQL,Linux,Test management tools-Testlink,Defect Tracking tools-QC,Bugzilla;,C#,Shell,Perl,Agile developments skill,DevOps,DevTools,Cloud platform,AWS,Azure,SQL,OS,Core Java,VB Scripting,JavaScript,API Testing"
User interface design,"HTML,CSS,JavaScript,Agile development,Data analysis,Figma,Sketch,Adobe Photoshop,Illustrator,Typography,color theory,wireframes,"
User interface design,"HTML,CSS,JavaScript,Agile development,Data analysis,Figma,Sketch,Adobe Photoshop,Illustrator,Typography,color theory,wireframes,"
User interface design,"HTML,CSS,JavaScript,Agile development,Data analysis,Figma,Sketch,Adobe Photoshop,Illustrator,Typography,color theory,wireframes,"
User interface design,"HTML,CSS,JavaScript,Agile development,Data analysis,Figma,Sketch,Adobe Photoshop,Illustrator,Typography,color theory,wireframes,"
User interface design,"HTML,CSS,JavaScript,Agile development,Data analysis,Figma,Sketch,Adobe Photoshop,Illustrator,Typography,color theory,wireframes,"
User interface design,"HTML,CSS,JavaScript,Agile development,Data analysis,Figma,Sketch,Adobe Photoshop,Illustrator,Typography,color theory,wireframes,"
User interface design,"HTML,CSS,JavaScript,Agile development,Data analysis,Figma,Sketch,Adobe Photoshop,Illustrator,Typography,color theory,wireframes,"
User interface design,"HTML,CSS,JavaScript,Agile development,Data analysis,Figma,Sketch,Adobe Photoshop,Illustrator,Typography,color theory,wireframes,"
User interface design,"HTML,CSS,JavaScript,Agile development,Data analysis,Figma,Sketch,Adobe Photoshop,Illustrator,Typography,color theory,wireframes,"
User interface design,"HTML,CSS,JavaScript,Agile development,Data analysis,Figma,Sketch,Adobe Photoshop,Illustrator,Typography,color theory,wireframes,"
Python developers,Pandas
Python developers,"Pandas, Core Python,Data structures in Python,OOPs,Web frameworks-Django,Flask,Pyramid;,DBMS,MySQL,PostgreSQL,MongoDB,Git,HTML,CSS,JavaScript,APIs,Web Scraping:BeautifulSoup"
Python developers,"Core Python,Data structures in Python,OOPs,Web frameworks-Django,Flask,Pyramid;,DBMS,MySQL,PostgreSQL,MongoDB,Git,HTML,CSS,JavaScript,APIs,Web Scraping:BeautifulSoup, Pandas"
Python developers,Pandas
Python developers,Pandas
Python developers,"Pandas, Core Python,Data structures in Python,OOPs,Web frameworks-Django,Flask,Pyramid;,DBMS,MySQL,PostgreSQL,MongoDB,Git,HTML,CSS,JavaScript,APIs,Web Scraping:BeautifulSoup"
Python developers,"Core Python,Data structures in Python,OOPs,Web frameworks-Django,Flask,Pyramid;,DBMS,MySQL,PostgreSQL,MongoDB,Git,HTML,CSS,JavaScript,APIs,Web Scraping:BeautifulSoup, Pandas"
Python developers,"Pandas, Core Python,Data structures in Python,OOPs,Web frameworks-Django,Flask,Pyramid;,DBMS,MySQL,PostgreSQL,MongoDB,Git,HTML,CSS,JavaScript,APIs,Web Scraping:BeautifulSoup"
Python developers,"Core Python,Data structures in Python,OOPs,Web frameworks-Django,Flask,Pyramid;,DBMS,MySQL,PostgreSQL,MongoDB,Git,HTML,CSS,JavaScript,APIs,Web Scraping:BeautifulSoup, Pandas"
Python developers,"Core Python,Data structures in Python,OOPs,Web frameworks-Django,Flask,Pyramid;,DBMS,MySQL,PostgreSQL,MongoDB,Git,HTML,CSS,JavaScript,APIs,Web Scraping:BeautifulSoup, Pandas"
Research Scientist,"Hadoop, Programming Language Fluency, Critical Thinking Skills , Mathematical Skills"
Research Scientist,"Critical Thinking Skills , Hadoop, Mathematical Skills, Programming Language Fluency"
Research Scientist,"Critical Thinking Skills , Mathematical Skills, Programming Language Fluency"
Research Scientist,Mathematical Skills
Research Scientist,"Programming Language Fluency, Critical Thinking Skills , Mathematical Skills"
Research Scientist,"Programming Language Fluency, Critical Thinking Skills , Mathematical Skills, Hadoop"
Research Scientist,"Hadoop, Mathematical Skills, Critical Thinking Skills , Programming Language Fluency"
Research Scientist,"Hadoop, Mathematical Skills, Critical Thinking Skills , Programming Language Fluency"
Research Scientist,Critical Thinking Skills 
Research Scientist,"Programming Language Fluency, Hadoop, Critical Thinking Skills "
Big Data Engineer,"Go, Cloud computing"
Big Data Engineer,"Ruby, SQL, Rust, Go, GitLab"
Big Data Engineer,"Cloud computing, Git, NoSQL,Python"
Big Data Engineer,"SQL, Git, Go, GitLab, Rust, Ruby, NoSQL,Python, Cloud computing"
Big Data Engineer,Go
Big Data Engineer,"SQL, Go"
Big Data Engineer,"Cloud computing, Git, Rust, Ruby"
Big Data Engineer,"NoSQL,Python, Ruby, Rust, SQL, Cloud computing, GitLab"
Big Data Engineer,"Ruby, Git"
Big Data Engineer,"Go, Git, SQL, Cloud computing, NoSQL,Python, GitLab, Ruby"
Natural Language Processing Engineer,"Statistical analysis, Python"
Natural Language Processing Engineer,"Python, R, Statistical analysis"
Natural Language Processing Engineer,"Java, Python"
Natural Language Processing Engineer,"Java, ML frameworks and libraries, Statistical analysis"
Natural Language Processing Engineer,R
Natural Language Processing Engineer,"Statistical analysis, R, ML frameworks and libraries, Python, Machine learning, Java"
Natural Language Processing Engineer,"ML frameworks and libraries, Statistical analysis, Java, Python"
Natural Language Processing Engineer,"Statistical analysis, Python"
Natural Language Processing Engineer,"R, Statistical analysis"
Natural Language Processing Engineer,"Python, Machine learning, Java, ML frameworks and libraries, Statistical analysis"
Computer Vision Engineer,"TensorFlow, OpenCV, DeepFace, C++, PyTorch, Point Cloud Library, R, MatLab, SQL server"
Computer Vision Engineer,"CUDA, MatLab, C++, OpenCV, TensorFlow, SQL server"
Computer Vision Engineer,"DeepFace, SQL server, R, OpenCV, C++, Point Cloud Library, TensorFlow, MatLab, PyTorch, CUDA"
Computer Vision Engineer,"TensorFlow, MatLab, R, SQL server, C++, Point Cloud Library, CUDA, PyTorch, OpenCV, DeepFace"
Computer Vision Engineer,"TensorFlow, DeepFace"
Computer Vision Engineer,"OpenCV, PyTorch, C++, Point Cloud Library, R"
Computer Vision Engineer,"Point Cloud Library, TensorFlow, DeepFace, MatLab, SQL server, PyTorch, R, C++, OpenCV, CUDA"
Computer Vision Engineer,TensorFlow
Computer Vision Engineer,"PyTorch, DeepFace, OpenCV, MatLab"
Computer Vision Engineer,"Point Cloud Library, DeepFace, OpenCV, SQL server, PyTorch, MatLab"
Flutter developer,"Subversion, CSS3, Object Oriented programming, Android Studio, JavaScript, VS Code, OOP, Java, OOPS, C++, Git"
Flutter developer,"JavaScript, OOPS"
Flutter developer,C++
Flutter developer,"CSS3, VS Code"
Flutter developer,"Subversion, OOPS, Git, HTML, VS Code, Object Oriented programming, JavaScript, Android Studio"
Flutter developer,"HTML, OOPS, CSS3, OOP, C++, Android Studio, Java, Object Oriented programming, Git, Subversion, JavaScript, VS Code"
Flutter developer,"OOPS, Android Studio, VS Code, Subversion, C++, OOP, CSS3, HTML, JavaScript, Object Oriented programming"
Flutter developer,"VS Code, JavaScript, HTML, Git, OOP, Java, C++"
Flutter developer,"HTML, CSS3, OOP, Git, Object Oriented programming, Subversion"
Flutter developer,"C++, Android Studio, Subversion, HTML, CSS3, VS Code, Git"
IOS developer,"XCUITest, Core Animation, RxSwift, CodeRunner, AppCode, Core Text, Swift 3.0, Objective-C, UIKit, unit testing, Xcode, AVFoundation, Core Data, Xcode IDE"
IOS developer,"Core Graphics, Core Animation, AVFoundation, XCUITest, Core Data, unit testing, UIKit"
IOS developer,RxSwift
IOS developer,"Xcode IDE, CodeRunner, RxSwift"
IOS developer,"XCUITest, Xcode, UIKit, Core Text, CodeRunner, AVFoundation, Core Data, unit testing, Objective-C, AppCode, Core Graphics"
IOS developer,"Objective-C, Swift 3.0, AppCode"
IOS developer,AppCode
IOS developer,Core Graphics
IOS developer,"AppCode, Core Animation, Xcode IDE, AVFoundation, Objective-C, Core Data, Core Graphics, Xcode"
IOS developer,"AppCode, RxSwift, XCTest, Core Graphics, AVFoundation, Core Data, Core Text, Core Animation, Swift 3.0, XCUITest, Objective-C, unit testing, UIKit"
Blockchain Developer,"Python, ADA, Cryptography, Data Structures, Smart Contracts, JavaScript, DSA, Golang, C"
Blockchain Developer,"Java, Python"
Blockchain Developer,"DSA, Golang, Smart Contracts, Python, Data Structures, Cryptography, Java, ADA, C, JavaScript, Ruby, Distributed Systems, C#"
Blockchain Developer,"Distributed Systems, Data Structures, DSA, Python, C, ADA, Golang, Cryptography, Java"
Blockchain Developer,"Ruby, Python, Smart Contracts, Distributed Systems, Data Structures, ADA, Cryptography"
Blockchain Developer,"Distributed Systems, Java, JavaScript, ADA, Data Structures, Smart Contracts, DSA"
Blockchain Developer,"Distributed Systems, DSA, Golang, JavaScript, Ruby, Cryptography, C, ADA, Python, Smart Contracts, C#, Data Structures, Java"
Blockchain Developer,"Python, Cryptography, C"
Blockchain Developer,"C, C#, Cryptography, Java, Distributed Systems, Data Structures, JavaScript, Golang, Smart Contracts, ADA, DSA, Python"
Blockchain Developer,"Python, C, JavaScript, ADA, Distributed Systems, Java"
Information security,Operating systems
Information security,"Scripting, DevOps, Operating systems, Python or PowerShell, Cloud, OS"
Information security,"DevOps, OS, Python or PowerShell, Cloud, Scripting"
Information security,"Cloud, Python or PowerShell, OS, Scripting, Operating systems"
Information security,"Python or PowerShell, Operating systems, OS, Cloud"
Information security,"OS, DevOps, Cloud"
Information security,"Scripting, Operating systems"
Information security,"DevOps, Cloud"
Information security,"Python or PowerShell, Cloud, Operating systems, DevOps, OS, Scripting"
Information security,"Python or PowerShell, Cloud, OS, Operating systems, Scripting, DevOps"
Network security,operating systems
Network security,"javascript,php,sql,iot,cloud computing,networks,firewall"
Network security,"operating systems, javascript,php,sql,iot,cloud computing,networks,firewall, coding,c,/c++/java/python"
Network security,"operating systems, coding,c,/c++/java/python"
Network security,"operating systems, coding,c,/c++/java/python"
Network security,"coding,c,/c++/java/python"
Network security,"javascript,php,sql,iot,cloud computing,networks,firewall, coding,c,/c++/java/python"
Network security,"coding,c,/c++/java/python, operating systems, javascript,php,sql,iot,cloud computing,networks,firewall"
Network security,"coding,c,/c++/java/python, javascript,php,sql,iot,cloud computing,networks,firewall, operating systems"
Network security,"javascript,php,sql,iot,cloud computing,networks,firewall, operating systems"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
